label,prediction
170558,240793.20797
65352,34000.3026355
150062,287601.564264
59458,143170.185759
107378,146375.220694
66229,76766.2595658
139919,88446.4049316
124433,158020.062157
195413,380762.31269
298708,408498.11729
58010,96188.411794
179833,163374.808935
194213,314232.96332
478570,318440.235801
287866,337641.738098
104567,99606.0194497
137556,279054.282233
111630,88936.1949455
251438,291551.239039
152232,78732.6603445
376063,261496.696475
168683,162214.022142
98699,93472.2385959
218255,228972.07976
70039,113739.771408
246413,281385.374091
34071,59244.724442
183956,142345.069522
51903,68654.2485481
96977,97737.8482068
94703,84640.1147125
60707,52271.5799218
229099,282239.271559
110045,67001.5579677
197909,171393.755978
274139,199411.586208
128832,113172.290766
152078,148541.745356
224630,191391.969267
72367,78081.8244756
117170,107203.569559
175361,155798.011919
194654,207838.459545
44895,102598.889738
150615,192832.422632
203023,230530.001727
241400,205623.02289
86920,99947.164566
257752,275345.437915
132889,114977.927695
159215,197628.457248
361570,297784.354139
71863,59569.5695296
165429,160024.978196
104549,103474.647477
157892,181780.87272
424071,398275.238324
109171,172125.941289
101400,103451.141708
317338,208172.062406
107487,144810.000957
194855,216628.197839
223602,235517.357353
87584,112790.832902
169285,220650.821345
75415,84572.5510823
101194,109910.997226
300689,287658.566829
196251,175007.614397
153891,118555.271252
219601,228373.332979
326788,299981.334663
165360,181604.74218
316904,307148.938588
176901,124427.225754
257401,340682.54688
124658,110153.832845
291249,141642.802927
106445,47878.5628083
38728,43360.4455647
160519,108968.701581
239828,282719.912972
197374,196433.182588
153002,167463.183641
90279,99136.6879168
117758,89872.9805479
259900,248906.520155
174459,251902.468095
204693,91574.988229
386251,262937.546071
82694,69668.416947
392236,244723.433156
62437,44914.7122724
506007,344307.163691
88509,70925.4053965
72010,70513.7893656
175225,152733.673403
270805,192060.072925
89191,88840.84744
136497,102911.688087
119699,169362.975935
602543,346775.401353
102427,58492.8752875
157437,208435.730171
114454,107484.417138
183576,234800.95954
130971,202663.930296
130299,94717.191131
117362,190120.039485
139900,106399.96751
138100,185346.726629
197070,436248.985807
178595,159702.064104
63290,98672.3424202
209215,225188.20538
86328,174133.065762
159745,266035.026341
121193,221671.629658
153192,241143.879137
92553,172109.715729
203322,323267.136916
66244,141409.571179
68142,93823.6558163
227409,169546.462842
189605,159499.179573
199258,315513.059635
85603,161694.222303
87489,104093.670251
100779,137220.520267
191771,271617.598526
60085,78704.1832119
127833,99002.7638215
119573,162824.879989
390272,243245.68341
89679,282219.216696
69792,137118.079545
103569,105906.29817
167435,211252.038961
148616,111705.377429
1055047,698048.932657
359912,386938.177918
160661,273978.897735
411749,228443.117974
492486,515560.586947
255390,379650.199901
51750,102227.068547
136016,131955.347149
158801,138886.05323
68590,20566.7682389
225779,198554.240092
168329,110304.940198
394793,280924.16612
93650,39774.1260953
309245,171179.337715
464043,334991.747811
87891,245027.418001
125917,135406.632892
326696,516518.11626
114925,163966.607635
75664,43123.5270406
344816,444637.528226
159033,100406.055656
387266,550985.46047
84496,93901.1912332
99466,103493.551944
144189,138361.696153
775337,611828.668037
62550,146732.352628
188170,123609.744429
131000,200506.315237
120036,82615.1876202
147590,195992.12651
174257,133707.827087
245747,254520.641459
495280,374962.71085
66964,48200.6293669
69835,93462.5292053
166385,126965.119167
155361,182259.350973
101636,175358.954667
66626,82569.2844752
339672,404181.124578
142382,212033.303033
359927,403643.246345
156388,91710.3476413
339090,355858.974121
83730,114775.931329
188690,163063.366103
90968,112485.511585
234698,225397.944844
107235,205585.699899
77449,141126.530718
246438,298122.721024
151482,172756.179926
91353,55234.7468138
520166,568667.034683
132774,150465.630341
67081,46058.0615927
73122,174438.468553
98035,110988.862335
360708,159575.271607
94663,189015.136461
99096,173852.334156
207873,294960.614332
191125,194996.087354
116736,151957.379819
172889,90655.6101588
130499,180668.364442
88000,145489.515216
86973,71490.3309308
152589,207477.505437
102640,119034.749274
135889,202903.624735
607935,542333.870681
